Posição,Estado,Região,"Número de
municípios","Número de habitantes
por estado federado","Média de habitantes
por município"
1,Minas Gerais,Sudeste,853,20 989 259,"24 606,40"
2,São Paulo,Sudeste,645,44 744 199,"69 370,85"
3,Rio Grande do Sul,Sul,497,11 290 773,"22 717,85"
4,Bahia,Nordeste,417,15 271 073,"36 621,28"
5,Paraná,Sul,399,11 241 665,"28 174,60"
6,Santa Catarina,Sul,295,6 882 793,"23 331,50"
7,Goiás,Centro-Oeste,246,6 690 173,"27 195,83"
8,Piauí,Nordeste,224,3 212 374,"14 340,96"
9,Paraíba,Nordeste,223,3 995 541,"17 917,22"
10,Maranhão,Nordeste,217,6 945 547,"32 007,13"
11,Pernambuco,Nordeste,184,9 405 159,"50 838,70"
12,Ceará,Nordeste,184,8 964 526,"48 720,25"
13,Rio Grande do Norte,Nordeste,167,3 473 266,"20 798,00"
14,Pará,Norte,144,8 261 031,"57 368,27"
15,Mato Grosso,Centro-Oeste,141,3 302 041,"23 418,73"
16,Tocantins,Norte,139,1 531 744,"11 019,74"
17,Alagoas,Nordeste,102,3 357 494,"32 916,61"
18,Rio de Janeiro,Sudeste,92,16 636 666,"180 833,33"
19,Mato Grosso do Sul,Centro-Oeste,79,2 680 759,"33 933,66"
20,Espírito Santo,Sudeste,78,3 966 360,"50 850,77"
21,Sergipe,Nordeste,75,2 264 606,"30 194,75"
22,Amazonas,Norte,62,3 996 335,"64 457,02"
23,Rondônia,Norte,52,1 786 220,"34 350,38"
24,Acre,Norte,22,815 545,"37 070,23"
25,Amapá,Norte,16,781 713,"48 857,06"
26,Roraima,Norte,15,514 594,"34 306,27"
